Model,MDO3104
Firmware Version,1.26

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0.000892,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.02
Vertical Position,-0.04,-5,-0.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-8.1600e-05,-0.08,inf,-0.0004
-8.1400e-05,-0.08,inf,0.0028
-8.1200e-05,0,inf,-0.0004
-8.1000e-05,-0.08,inf,-0.002
-8.0800e-05,-0.08,inf,0.0012
-8.0600e-05,-0.08,inf,-0.0012
-8.0400e-05,-0.08,inf,-0.0044
-8.0200e-05,-0.12,inf,-0.0028
-8.0000e-05,-0.16,inf,0.0004
-7.9800e-05,-0.12,inf,0.002
-7.9600e-05,-0.08,inf,0.002
-7.9400e-05,-0.08,inf,0.0012
-7.9200e-05,-0.04,inf,-0.0036
-7.9000e-05,-0.08,inf,-0.002
-7.8800e-05,-0.04,inf,-0.0028
-7.8600e-05,0,inf,-0.0012
-7.8400e-05,-0.04,inf,-0.0036
-7.8200e-05,-0.12,inf,0.002
-7.8000e-05,-0.08,inf,0.0004
-7.7800e-05,-0.04,inf,0.0012
-7.7600e-05,-0.12,inf,-0.002
-7.7400e-05,-0.04,inf,-0.0012
-7.7200e-05,-0.04,inf,-0.006
-7.7000e-05,-0.08,inf,-0.0028
-7.6800e-05,-0.12,inf,-0.006
-7.6600e-05,-0.08,inf,-0.0004
-7.6400e-05,-0.08,inf,0.0012
-7.6200e-05,-0.04,inf,0.0036
-7.6000e-05,-0.04,inf,0.0004
-7.5800e-05,-0.12,inf,0.0012
-7.5600e-05,-0.04,inf,-0.0028
-7.5400e-05,-0.08,0.056,-0.0028
-7.5200e-05,-0.08,0.064,-0.0036
-7.5000e-05,-0.04,0.056,-0.0028
-7.4800e-05,-0.04,0.056,-0.0036
-7.4600e-05,-0.04,0.06,-0.0012
-7.4400e-05,-0.08,0.056,0.0012
-7.4200e-05,-0.08,0.06,0.0004
-7.4000e-05,-0.08,0.06,-0.0004
-7.3800e-05,-0.08,0.052,0.0004
-7.3600e-05,-0.08,0.056,-0.0028
-7.3400e-05,-0.08,0.052,-0.002
-7.3200e-05,-0.08,0.056,-0.0012
-7.3000e-05,-0.04,0.052,-0.0004
-7.2800e-05,-0.12,0.056,0.0004
-7.2600e-05,-0.04,0.052,-0.0004
-7.2400e-05,-0.08,0.052,0.0012
-7.2200e-05,-0.04,0.052,-0.0044
-7.2000e-05,-0.08,0.052,0.0004
-7.1800e-05,-0.08,0.052,-0.0052
-7.1600e-05,-0.08,0.052,0.002
-7.1400e-05,-0.08,0.052,-0.0028
-7.1200e-05,-0.04,0.052,0.0044
-7.1000e-05,-0.08,0.056,-0.0036
-7.0800e-05,-0.04,0.056,0.0044
-7.0600e-05,-0.04,0.048,-0.0068
-7.0400e-05,-0.08,0.044,0.0004
-7.0200e-05,-0.04,0.048,-0.0092
-7.0000e-05,-0.08,0.052,0.0036
-6.9800e-05,-0.04,0.048,-0.0044
-6.9600e-05,-0.04,0.052,0.0036
-6.9400e-05,-0.08,0.052,-0.0036
-6.9200e-05,-0.08,0.052,0.0036
-6.9000e-05,-0.04,0.052,-0.0052
-6.8800e-05,-0.08,0.048,-0.0004
-6.8600e-05,-0.04,0.048,-0.0044
-6.8400e-05,-0.08,0.044,-0.0012
-6.8200e-05,-0.04,0.044,-0.0012
-6.8000e-05,-0.08,0.048,0.002
-6.7800e-05,-0.08,0.048,0.0012
-6.7600e-05,-0.08,0.052,0.002
-6.7400e-05,-0.08,0.052,-0.0004
-6.7200e-05,-0.08,0.048,0.0004
-6.7000e-05,-0.04,0.048,-0.0036
-6.6800e-05,-0.08,0.048,-0.0036
-6.6600e-05,-0.04,0.048,-0.0028
-6.6400e-05,-0.04,0.048,0.0004
-6.6200e-05,-0.04,0.048,0.002
-6.6000e-05,-0.08,0.048,0.0004
-6.5800e-05,-0.08,0.048,0.0012
-6.5600e-05,0,0.052,0.0012
-6.5400e-05,-0.08,0.048,-0.002
-6.5200e-05,-0.04,0.052,-0.0036
-6.5000e-05,-0.08,0.048,-0.002
-6.4800e-05,-0.04,0.052,-0.0028
-6.4600e-05,-0.12,0.048,-0.002
-6.4400e-05,0,0.048,-0.0004
-6.4200e-05,-0.08,0.044,-0.002
-6.4000e-05,-0.04,0.052,0.0004
-6.3800e-05,-0.04,0.048,-0.0004
-6.3600e-05,0,0.044,0.0004
-6.3400e-05,-0.08,0.052,-0.0012
-6.3200e-05,-0.04,0.052,-0.002
-6.3000e-05,0,0.048,-0.0004
-6.2800e-05,0,0.052,-0.0004
-6.2600e-05,-0.08,0.048,0.0012
-6.2400e-05,0,0.048,-0.0012
-6.2200e-05,-0.08,0.048,-0.0012
-6.2000e-05,0,0.052,-0.0028
-6.1800e-05,-0.04,0.048,-0.0004
-6.1600e-05,0,0.044,-0.002
-6.1400e-05,-0.04,0.048,-0.0012
-6.1200e-05,-0.04,0.052,-0.0012
-6.1000e-05,-0.04,0.052,-0.0004
-6.0800e-05,-0.04,0.052,0.0004
-6.0600e-05,-0.04,0.052,-0.002
-6.0400e-05,-0.04,0.052,-0.002
-6.0200e-05,-0.08,0.048,-0.0044
-6.0000e-05,0,0.048,-0.002
-5.9800e-05,-0.04,0.052,-0.0036
-5.9600e-05,-0.04,0.048,-0.0012
-5.9400e-05,-0.04,0.048,0.0012
-5.9200e-05,-0.04,0.052,0.0004
-5.9000e-05,-0.04,0.048,0.0004
-5.8800e-05,-0.04,0.052,-0.002
-5.8600e-05,0,0.048,-0.0012
-5.8400e-05,-0.04,0.048,-0.0044
-5.8200e-05,0,inf,0.0004
-5.8000e-05,0,inf,-0.0036
-5.7800e-05,0.04,inf,0.002
-5.7600e-05,0,inf,-0.0028
-5.7400e-05,0,inf,0.0052
-5.7200e-05,0,inf,-0.0028
-5.7000e-05,0,inf,0.0012
-5.6800e-05,-0.04,inf,-0.0076
-5.6600e-05,0,inf,0.0012
-5.6400e-05,0,inf,-0.0068
-5.6200e-05,0,inf,0.0028
-5.6000e-05,-0.04,inf,-0.0044
-5.5800e-05,0.04,inf,0.0044
-5.5600e-05,0,inf,-0.0004
-5.5400e-05,0,inf,0.0036
-5.5200e-05,0,inf,-0.0076
-5.5000e-05,0,inf,-0.0012
-5.4800e-05,0.04,inf,-0.006
-5.4600e-05,0,inf,-0.0012
-5.4400e-05,0,inf,-0.0036
-5.4200e-05,0,inf,0.0004
-5.4000e-05,0,inf,0.0004
-5.3800e-05,0.04,inf,0.0052
-5.3600e-05,0.04,inf,-0.0012
-5.3400e-05,0,inf,0.0012
-5.3200e-05,0.04,inf,-0.0052
-5.3000e-05,0.04,inf,-0.0012
-5.2800e-05,0.08,inf,-0.0036
-5.2600e-05,0.04,inf,-0.0012
-5.2400e-05,0.04,inf,-0.002
-5.2200e-05,0.08,inf,-0.0004
-5.2000e-05,0.04,inf,-0.0012
-5.1800e-05,0.08,inf,-0.0004
-5.1600e-05,0.04,inf,-0.0028
-5.1400e-05,0.04,inf,-0.0028
-5.1200e-05,0.04,inf,-0.002
-5.1000e-05,0.08,inf,-0.0012
-5.0800e-05,0.04,inf,-0.0004
-5.0600e-05,0.08,inf,-0.0004
-5.0400e-05,0.08,inf,0.0012
-5.0200e-05,0.04,inf,-0.0028
-5.0000e-05,0.08,inf,0.0012
-4.9800e-05,0.08,inf,-0.0036
-4.9600e-05,0,inf,-0.0012
-4.9400e-05,0.04,inf,-0.0028
-4.9200e-05,0.04,inf,0.0028
-4.9000e-05,0.04,inf,-0.0028
-4.8800e-05,0.08,inf,0.002
-4.8600e-05,0.04,inf,-0.0028
-4.8400e-05,0.08,inf,0.0044
-4.8200e-05,0.08,inf,-0.0036
-4.8000e-05,0.08,inf,-0.0012
-4.7800e-05,0.04,inf,-0.0036
-4.7600e-05,0.12,inf,0.0004
-4.7400e-05,0.04,inf,0.0004
-4.7200e-05,0.08,inf,0.0036
-4.7000e-05,0.12,inf,-0.002
-4.6800e-05,0.12,inf,0.0012
-4.6600e-05,0.12,inf,-0.002
-4.6400e-05,0.16,inf,-0.002
-4.6200e-05,0.08,inf,-0.0028
-4.6000e-05,0.12,inf,-0.0012
-4.5800e-05,0.12,inf,0.0012
-4.5600e-05,0.12,inf,0.002
-4.5400e-05,0.08,inf,0.0004
-4.5200e-05,0.12,inf,0.0012
-4.5000e-05,0.12,inf,-0.0052
-4.4800e-05,0.12,inf,-0.002
-4.4600e-05,0.12,inf,-0.0036
-4.4400e-05,0.12,inf,-0.0004
-4.4200e-05,0.12,inf,-0.0012
-4.4000e-05,0.16,inf,0.0028
-4.3800e-05,0.12,inf,0.0012
-4.3600e-05,0.16,inf,0.0036
-4.3400e-05,0.2,inf,-0.002
-4.3200e-05,0.2,inf,-0.0012
-4.3000e-05,0.16,inf,-0.006
-4.2800e-05,0.12,inf,0.0004
-4.2600e-05,0.2,inf,-0.0044
-4.2400e-05,0.16,inf,0.0012
-4.2200e-05,0.2,inf,-0.002
