Model,MDO3104
Firmware Version,1.26

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0.000892,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.02
Vertical Position,-0.04,-5,-0.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.2980e-04,0.44,inf,0.0212
4.3000e-04,0.4,inf,0.0228
4.3020e-04,0.36,inf,0.0212
4.3040e-04,0.28,inf,0.0212
4.3060e-04,0.28,inf,0.0188
4.3080e-04,0.16,inf,0.0172
4.3100e-04,0.16,inf,0.0196
4.3120e-04,0.16,inf,0.0172
4.3140e-04,0.08,inf,0.0172
4.3160e-04,0.04,inf,0.0148
4.3180e-04,0.04,inf,0.014
4.3200e-04,-0.08,inf,0.0084
4.3220e-04,-0.12,inf,0.0108
4.3240e-04,-0.2,inf,0.0052
4.3260e-04,-0.24,inf,0.0068
4.3280e-04,-0.28,inf,0.0044
4.3300e-04,-0.36,inf,0.0092
4.3320e-04,-0.32,inf,0.0028
4.3340e-04,-0.44,inf,0.0052
4.3360e-04,-0.44,inf,-0.0036
4.3380e-04,-0.48,inf,-0.002
4.3400e-04,-0.52,inf,-0.0076
4.3420e-04,-0.52,inf,-0.0028
4.3440e-04,-0.44,inf,-0.0052
4.3460e-04,-0.48,inf,-0.0036
4.3480e-04,-0.48,inf,-0.0036
4.3500e-04,-0.44,inf,-0.0036
4.3520e-04,-0.44,inf,-0.006
4.3540e-04,-0.4,inf,-0.0068
4.3560e-04,-0.36,inf,-0.0052
4.3580e-04,-0.28,inf,-0.0068
4.3600e-04,-0.2,inf,-0.0012
4.3620e-04,-0.2,inf,-0.0004
4.3640e-04,-0.08,inf,0.0028
4.3660e-04,-0.04,inf,0.002
4.3680e-04,0,inf,0.0044
4.3700e-04,0.12,inf,0.002
4.3720e-04,0.16,inf,0.0012
4.3740e-04,0.16,inf,0.0012
4.3760e-04,0.24,inf,0.0044
4.3780e-04,0.24,inf,0.0044
4.3800e-04,0.32,inf,0.0076
4.3820e-04,0.4,inf,0.0092
4.3840e-04,0.44,inf,0.0124
4.3860e-04,0.48,inf,0.0132
4.3880e-04,0.52,inf,0.0124
4.3900e-04,0.44,inf,0.0108
4.3920e-04,0.48,inf,0.0148
4.3940e-04,0.48,inf,0.0116
4.3960e-04,0.44,inf,0.0132
4.3980e-04,0.44,inf,0.0156
4.4000e-04,0.4,inf,0.0156
4.4020e-04,0.32,inf,0.014
4.4040e-04,0.32,inf,0.0148
4.4060e-04,0.2,inf,0.0116
4.4080e-04,0.2,inf,0.0108
4.4100e-04,0.2,inf,0.0084
4.4120e-04,0.04,inf,0.0092
4.4140e-04,0.04,inf,0.0068
4.4160e-04,-0.04,inf,0.0084
4.4180e-04,-0.04,inf,0.0044
4.4200e-04,-0.16,inf,0.0044
4.4220e-04,-0.24,inf,0.0036
4.4240e-04,-0.24,inf,0.0028
4.4260e-04,-0.28,inf,0.002
4.4280e-04,-0.36,inf,-0.0012
4.4300e-04,-0.36,inf,-0.0004
4.4320e-04,-0.44,inf,-0.0028
4.4340e-04,-0.44,inf,-0.0036
4.4360e-04,-0.52,inf,-0.0068
4.4380e-04,-0.48,inf,-0.0084
4.4400e-04,-0.52,inf,-0.01
4.4420e-04,-0.52,inf,-0.0092
4.4440e-04,-0.52,inf,-0.0116
4.4460e-04,-0.52,inf,-0.0108
4.4480e-04,-0.44,inf,-0.0108
4.4500e-04,-0.4,inf,-0.0084
4.4520e-04,-0.36,inf,-0.0076
4.4540e-04,-0.32,inf,-0.0116
4.4560e-04,-0.24,inf,-0.01
4.4580e-04,-0.16,inf,-0.0124
4.4600e-04,-0.16,inf,-0.0068
4.4620e-04,-0.04,inf,-0.0108
4.4640e-04,0.04,inf,-0.0012
4.4660e-04,0.04,inf,-0.006
4.4680e-04,0.12,inf,0.0028
4.4700e-04,0.2,inf,-0.0036
4.4720e-04,0.2,inf,0.0004
4.4740e-04,0.2,inf,-0.0076
4.4760e-04,0.36,inf,-0.0004
4.4780e-04,0.36,inf,-0.0068
4.4800e-04,0.36,inf,0.0004
4.4820e-04,0.4,inf,-0.0004
4.4840e-04,0.44,inf,0.0052
4.4860e-04,0.48,inf,0.0036
4.4880e-04,0.48,inf,0.0084
4.4900e-04,0.48,inf,0.0028
4.4920e-04,0.44,inf,0.0036
4.4940e-04,0.44,inf,0.0012
4.4960e-04,0.44,inf,0.002
4.4980e-04,0.36,inf,0.0004
4.5000e-04,0.32,inf,0.002
4.5020e-04,0.24,inf,0.0012
4.5040e-04,0.2,inf,0.0012
4.5060e-04,0.16,inf,-0.0004
4.5080e-04,0.12,inf,-0.0012
4.5100e-04,-0.04,inf,-0.0084
4.5120e-04,-0.04,inf,-0.0092
4.5140e-04,-0.08,inf,-0.014
4.5160e-04,-0.2,inf,-0.0132
4.5180e-04,-0.2,inf,-0.0172
4.5200e-04,-0.28,inf,-0.0172
4.5220e-04,-0.32,inf,-0.0204
4.5240e-04,-0.4,inf,-0.0188
4.5260e-04,-0.4,inf,-0.0236
4.5280e-04,-0.44,inf,-0.0236
4.5300e-04,-0.44,inf,-0.0308
4.5320e-04,-0.48,inf,-0.0252
4.5340e-04,-0.52,inf,-0.0316
4.5360e-04,-0.48,inf,-0.0292
4.5380e-04,-0.48,inf,-0.034
4.5400e-04,-0.48,inf,-0.03
4.5420e-04,-0.48,inf,-0.0332
4.5440e-04,-0.4,inf,-0.0324
4.5460e-04,-0.4,inf,-0.0364
4.5480e-04,-0.36,inf,-0.034
4.5500e-04,-0.24,inf,-0.0348
4.5520e-04,-0.24,inf,-0.0292
4.5540e-04,-0.24,inf,-0.0308
4.5560e-04,-0.12,inf,-0.022
4.5580e-04,0,inf,-0.0268
4.5600e-04,0,inf,-0.0188
4.5620e-04,0.04,inf,-0.0228
4.5640e-04,0.12,inf,-0.0156
4.5660e-04,0.12,inf,-0.0196
4.5680e-04,0.2,inf,-0.0084
4.5700e-04,0.32,inf,-0.0124
4.5720e-04,0.36,inf,-0.0012
4.5740e-04,0.36,inf,-0.0076
4.5760e-04,0.44,inf,0.002
4.5780e-04,0.4,inf,-0.0028
4.5800e-04,0.48,inf,0.0044
4.5820e-04,0.48,inf,-0.0004
4.5840e-04,0.48,inf,0.0092
4.5860e-04,0.48,inf,0.0076
4.5880e-04,0.4,inf,0.0188
4.5900e-04,0.48,inf,0.0156
4.5920e-04,0.36,inf,0.0196
4.5940e-04,0.28,inf,0.0148
4.5960e-04,0.24,inf,0.0196
4.5980e-04,0.16,inf,0.0148
4.6000e-04,0.2,inf,0.0164
4.6020e-04,0.12,inf,0.0148
4.6040e-04,0.08,inf,0.0156
4.6060e-04,-0.04,inf,0.0172
4.6080e-04,-0.04,inf,0.0164
4.6100e-04,-0.16,inf,0.0108
4.6120e-04,-0.2,inf,0.01
4.6140e-04,-0.24,inf,0.0068
4.6160e-04,-0.28,inf,0.0044
4.6180e-04,-0.32,inf,0.0012
4.6200e-04,-0.4,inf,0.0028
4.6220e-04,-0.44,inf,-0.0004
4.6240e-04,-0.48,inf,0.0012
4.6260e-04,-0.48,inf,-0.0044
4.6280e-04,-0.52,inf,-0.0012
4.6300e-04,-0.56,inf,-0.0132
4.6320e-04,-0.52,inf,-0.0084
4.6340e-04,-0.52,inf,-0.0156
4.6360e-04,-0.48,inf,-0.0148
4.6380e-04,-0.44,inf,-0.0204
4.6400e-04,-0.32,inf,-0.0148
4.6420e-04,-0.32,inf,-0.022
4.6440e-04,-0.32,inf,-0.0164
4.6460e-04,-0.28,inf,-0.0236
4.6480e-04,-0.16,inf,-0.0204
4.6500e-04,-0.12,inf,-0.0252
4.6520e-04,0,inf,-0.018
4.6540e-04,0,inf,-0.0204
4.6560e-04,0.08,inf,-0.0132
4.6580e-04,0.16,inf,-0.0148
4.6600e-04,0.16,inf,-0.006
4.6620e-04,0.24,inf,-0.0084
4.6640e-04,0.28,inf,-0.0028
4.6660e-04,0.32,inf,-0.0084
4.6680e-04,0.4,inf,0.0028
4.6700e-04,0.4,inf,-0.0004
4.6720e-04,0.44,inf,0.0092
4.6740e-04,0.44,inf,0.0052
4.6760e-04,0.44,inf,0.0148
4.6780e-04,0.48,inf,0.0116
4.6800e-04,0.44,inf,0.022
4.6820e-04,0.36,inf,0.0164
4.6840e-04,0.4,inf,0.0244
4.6860e-04,0.36,inf,0.0228
4.6880e-04,0.28,inf,0.0324
4.6900e-04,0.28,inf,0.0332
4.6920e-04,0.16,inf,0.0372
4.6940e-04,0.12,inf,0.0364
4.6960e-04,0.04,inf,0.0396
4.6980e-04,0,inf,0.0372
4.7000e-04,-0.08,inf,0.0348
4.7020e-04,-0.08,inf,0.0308
4.7040e-04,-0.16,inf,0.0324
4.7060e-04,-0.28,inf,0.0324
4.7080e-04,-0.28,inf,0.0308
4.7100e-04,-0.36,inf,0.0332
4.7120e-04,-0.36,inf,0.026
4.7140e-04,-0.44,inf,0.0268
4.7160e-04,-0.52,inf,0.0228
4.7180e-04,-0.48,inf,0.0156
4.7200e-04,-0.48,inf,0.0116
4.7220e-04,-0.56,inf,0.01
4.7240e-04,-0.44,inf,0.0076
4.7260e-04,-0.52,inf,0.0076
4.7280e-04,-0.48,inf,0.0044
4.7300e-04,-0.44,inf,-0.0012
4.7320e-04,-0.44,inf,-0.002
4.7340e-04,-0.32,inf,-0.01
4.7360e-04,-0.28,inf,-0.01
4.7380e-04,-0.24,inf,-0.0188
4.7400e-04,-0.2,inf,-0.0164
4.7420e-04,-0.08,inf,-0.0204
4.7440e-04,-0.08,inf,-0.0188
4.7460e-04,0,inf,-0.0228
4.7480e-04,0.04,inf,-0.0212
4.7500e-04,0.12,inf,-0.022
4.7520e-04,0.2,inf,-0.0196
4.7540e-04,0.24,inf,-0.0228
4.7560e-04,0.28,inf,-0.0212
4.7580e-04,0.32,inf,-0.0204
4.7600e-04,0.36,inf,-0.0188
4.7620e-04,0.4,inf,-0.0164
4.7640e-04,0.44,inf,-0.0108
4.7660e-04,0.44,inf,-0.014
4.7680e-04,0.48,inf,-0.0116
4.7700e-04,0.48,inf,-0.0108
4.7720e-04,0.44,inf,-0.006
4.7740e-04,0.4,inf,-0.0052
4.7760e-04,0.36,inf,-0.0004
4.7780e-04,0.32,inf,0.0036
4.7800e-04,0.28,inf,0.0076
4.7820e-04,0.24,inf,0.0084
4.7840e-04,0.16,inf,0.0116
4.7860e-04,0.12,inf,0.0092
4.7880e-04,0.04,inf,0.0156
4.7900e-04,0,inf,0.0188
4.7920e-04,-0.04,inf,0.0204
4.7940e-04,-0.12,inf,0.0228
4.7960e-04,-0.16,inf,0.0204
4.7980e-04,-0.24,inf,0.0244
4.8000e-04,-0.32,inf,0.0172
4.8020e-04,-0.36,inf,0.0188
4.8040e-04,-0.4,inf,0.0116
4.8060e-04,-0.44,inf,0.0196
4.8080e-04,-0.44,inf,0.014
4.8100e-04,-0.52,inf,0.022
4.8120e-04,-0.48,inf,0.0132
4.8140e-04,-0.52,inf,0.0172
4.8160e-04,-0.56,inf,0.0076
4.8180e-04,-0.4,inf,0.01
4.8200e-04,-0.48,inf,-0.0004
4.8220e-04,-0.36,inf,0.0028
4.8240e-04,-0.4,inf,-0.0036
4.8260e-04,-0.36,inf,-0.0028
4.8280e-04,-0.24,inf,-0.0068
4.8300e-04,-0.2,inf,-0.0044
4.8320e-04,-0.12,inf,-0.0132
4.8340e-04,-0.04,inf,-0.0124
4.8360e-04,0,inf,-0.018
4.8380e-04,0.08,inf,-0.0212
4.8400e-04,0.16,inf,-0.0236
4.8420e-04,0.2,inf,-0.0212
4.8440e-04,0.24,inf,-0.022
4.8460e-04,0.32,inf,-0.0212
4.8480e-04,0.36,inf,-0.0228
4.8500e-04,0.36,inf,-0.0204
4.8520e-04,0.4,inf,-0.022
4.8540e-04,0.44,inf,-0.0196
4.8560e-04,0.44,inf,-0.0236
4.8580e-04,0.44,inf,-0.0212
4.8600e-04,0.48,inf,-0.0228
4.8620e-04,0.44,inf,-0.014
4.8640e-04,0.48,inf,-0.0156
4.8660e-04,0.4,inf,-0.0108
4.8680e-04,0.32,inf,-0.0132
4.8700e-04,0.28,inf,-0.0076
4.8720e-04,0.24,inf,-0.0084
4.8740e-04,0.2,inf,-0.0036
4.8760e-04,0.2,inf,-0.0028
4.8780e-04,0.04,inf,0.002
4.8800e-04,-0.04,inf,0.0028
4.8820e-04,-0.08,inf,0.0084
4.8840e-04,-0.16,inf,0.0068
4.8860e-04,-0.16,inf,0.0084
4.8880e-04,-0.24,inf,0.0044
4.8900e-04,-0.28,inf,0.01
4.8920e-04,-0.32,inf,0.0076
4.8940e-04,-0.4,inf,0.0116
4.8960e-04,-0.48,inf,0.006
4.8980e-04,-0.48,inf,0.0132
4.9000e-04,-0.48,inf,0.006
4.9020e-04,-0.44,inf,0.01
4.9040e-04,-0.48,inf,0.002
4.9060e-04,-0.48,inf,0.0068
4.9080e-04,-0.4,inf,-0.0004
4.9100e-04,-0.44,inf,0.0092
4.9120e-04,-0.4,inf,-0.0012
4.9140e-04,-0.36,inf,0.0044
4.9160e-04,-0.28,inf,-0.002
4.9180e-04,-0.2,inf,0.0012
4.9200e-04,-0.16,inf,-0.0108
4.9220e-04,-0.12,inf,-0.0068
4.9240e-04,-0.04,inf,-0.0172
4.9260e-04,0,inf,-0.0108
4.9280e-04,0.04,inf,-0.0156
4.9300e-04,0.16,inf,-0.0116
4.9320e-04,0.24,inf,-0.018
4.9340e-04,0.24,inf,-0.0148
4.9360e-04,0.28,inf,-0.0188
4.9380e-04,0.32,inf,-0.018
4.9400e-04,0.4,inf,-0.022
4.9420e-04,0.44,inf,-0.0188
4.9440e-04,0.44,inf,-0.0188
4.9460e-04,0.48,inf,-0.0148
4.9480e-04,0.44,inf,-0.0156
4.9500e-04,0.44,inf,-0.0132
4.9520e-04,0.44,inf,-0.014
4.9540e-04,0.36,inf,-0.0108
4.9560e-04,0.36,inf,-0.014
4.9580e-04,0.28,inf,-0.0116
4.9600e-04,0.28,inf,-0.0108
4.9620e-04,0.2,inf,-0.0036
4.9640e-04,0.08,inf,-0.006
4.9660e-04,0.08,inf,-0.0012
4.9680e-04,0,inf,-0.002
4.9700e-04,-0.04,inf,0.0004
4.9720e-04,-0.08,inf,-0.0004
4.9740e-04,-0.2,inf,0.0012
4.9760e-04,-0.28,inf,-0.0004
4.9780e-04,-0.32,inf,0.0036
4.9800e-04,-0.4,inf,0.0052
4.9820e-04,-0.4,inf,0.0052
4.9840e-04,-0.44,inf,0.0036
4.9860e-04,-0.48,inf,0.002
4.9880e-04,-0.48,inf,-0.002
4.9900e-04,-0.48,inf,-0.0004
4.9920e-04,-0.52,inf,-0.0012
4.9940e-04,-0.48,inf,0.0004
4.9960e-04,-0.44,inf,-0.0044
4.9980e-04,-0.44,inf,0.0012
5.0000e-04,-0.4,inf,-0.0068
5.0020e-04,-0.36,inf,-0.0068
5.0040e-04,-0.32,inf,-0.0148
5.0060e-04,-0.24,inf,-0.0108
5.0080e-04,-0.2,inf,-0.0172
5.0100e-04,-0.08,inf,-0.0108
5.0120e-04,0,inf,-0.0172
5.0140e-04,0.04,inf,-0.0148
5.0160e-04,0.04,inf,-0.018
5.0180e-04,0.16,inf,-0.018
5.0200e-04,0.2,inf,-0.0212
5.0220e-04,0.28,inf,-0.0244
5.0240e-04,0.32,inf,-0.0228
5.0260e-04,0.4,inf,-0.0212
5.0280e-04,0.4,inf,-0.0172
5.0300e-04,0.4,inf,-0.0156
5.0320e-04,0.44,inf,-0.0108
5.0340e-04,0.44,inf,-0.0148
5.0360e-04,0.48,inf,-0.0076
5.0380e-04,0.44,inf,-0.0116
5.0400e-04,0.48,inf,-0.0084
5.0420e-04,0.4,inf,-0.0076
5.0440e-04,0.28,inf,0.0012
5.0460e-04,0.32,inf,0.0012
5.0480e-04,0.24,inf,0.006
5.0500e-04,0.12,inf,0.0052
5.0520e-04,0.04,inf,0.01
5.0540e-04,0.04,inf,0.0108
5.0560e-04,-0.04,inf,0.0148
5.0580e-04,-0.04,inf,0.0124
5.0600e-04,-0.2,inf,0.0196
5.0620e-04,-0.28,inf,0.0228
5.0640e-04,-0.28,inf,0.0252
5.0660e-04,-0.32,inf,0.0212
5.0680e-04,-0.4,inf,0.026
5.0700e-04,-0.44,inf,0.0196
5.0720e-04,-0.48,inf,0.0236
5.0740e-04,-0.52,inf,0.0188
5.0760e-04,-0.48,inf,0.0228
5.0780e-04,-0.48,inf,0.018
5.0800e-04,-0.52,inf,0.022
5.0820e-04,-0.44,inf,0.0172
5.0840e-04,-0.4,inf,0.0148
5.0860e-04,-0.4,inf,0.0084
5.0880e-04,-0.36,inf,0.0084
5.0900e-04,-0.32,inf,0.0036
5.0920e-04,-0.28,inf,0.0036
5.0940e-04,-0.12,inf,0.0012
5.0960e-04,-0.08,inf,-0.0004
5.0980e-04,-0.04,inf,-0.0012
5.1000e-04,0,inf,-0.0044
5.1020e-04,0.08,inf,-0.0108
5.1040e-04,0.16,inf,-0.0156
5.1060e-04,0.2,inf,-0.018
5.1080e-04,0.32,inf,-0.0172
5.1100e-04,0.32,inf,-0.0172
5.1120e-04,0.36,inf,-0.014
5.1140e-04,0.36,inf,-0.0156
5.1160e-04,0.44,inf,-0.0124
5.1180e-04,0.44,inf,-0.0164
5.1200e-04,0.4,inf,-0.01
5.1220e-04,0.4,inf,-0.018
5.1240e-04,0.4,inf,-0.0092
5.1260e-04,0.36,inf,-0.0108
5.1280e-04,0.4,inf,-0.002
5.1300e-04,0.32,inf,-0.0044
5.1320e-04,0.28,inf,0.0068
5.1340e-04,0.28,inf,0.002
5.1360e-04,0.16,inf,0.0124
5.1380e-04,0.04,inf,0.0092
5.1400e-04,0.04,inf,0.0212
5.1420e-04,-0.04,inf,0.0196
5.1440e-04,-0.12,inf,0.0316
5.1460e-04,-0.2,inf,0.0292
5.1480e-04,-0.24,inf,0.0388
5.1500e-04,-0.28,inf,0.034
5.1520e-04,-0.32,inf,0.0412
5.1540e-04,-0.48,inf,0.0372
5.1560e-04,-0.48,inf,0.0436
5.1580e-04,-0.48,inf,0.0404
5.1600e-04,-0.52,inf,0.0484
5.1620e-04,-0.56,inf,0.0468
5.1640e-04,-0.44,inf,0.0516
5.1660e-04,-0.52,inf,0.0404
5.1680e-04,-0.48,inf,0.0444
5.1700e-04,-0.44,inf,0.0356
5.1720e-04,-0.44,inf,0.0364
5.1740e-04,-0.32,inf,0.0276
5.1760e-04,-0.28,inf,0.0316
5.1780e-04,-0.2,inf,0.0244
5.1800e-04,-0.16,inf,0.026
5.1820e-04,0,inf,0.0148
5.1840e-04,0,inf,0.0116
5.1860e-04,0.04,inf,0.0028
5.1880e-04,0.08,inf,-0.0004
5.1900e-04,0.2,inf,-0.006
5.1920e-04,0.24,inf,-0.0076
5.1940e-04,0.28,inf,-0.0124
5.1960e-04,0.32,inf,-0.014
5.1980e-04,0.4,inf,-0.0164
5.2000e-04,0.44,inf,-0.022
5.2020e-04,0.44,inf,-0.0252
5.2040e-04,0.48,inf,-0.0292
5.2060e-04,0.48,inf,-0.0308
5.2080e-04,0.44,inf,-0.0292
5.2100e-04,0.44,inf,-0.03
5.2120e-04,0.4,inf,-0.026
5.2140e-04,0.36,inf,-0.026
5.2160e-04,0.24,inf,-0.026
5.2180e-04,0.24,inf,-0.0252
5.2200e-04,0.24,inf,-0.0236
5.2220e-04,0.08,inf,-0.0212
5.2240e-04,0.04,inf,-0.0116
5.2260e-04,0,inf,-0.0124
5.2280e-04,-0.08,inf,-0.006
5.2300e-04,-0.16,inf,-0.006
5.2320e-04,-0.24,inf,0.0012
5.2340e-04,-0.28,inf,0.002
5.2360e-04,-0.4,inf,0.0052
5.2380e-04,-0.4,inf,0.006
5.2400e-04,-0.4,inf,0.014
5.2420e-04,-0.48,inf,0.0148
5.2440e-04,-0.48,inf,0.0212
5.2460e-04,-0.48,inf,0.0196
5.2480e-04,-0.48,inf,0.0204
5.2500e-04,-0.52,inf,0.0172
5.2520e-04,-0.44,inf,0.0172
5.2540e-04,-0.48,inf,0.014
5.2560e-04,-0.4,inf,0.0148
5.2580e-04,-0.32,inf,0.0156
5.2600e-04,-0.24,inf,0.0156
5.2620e-04,-0.2,inf,0.0124
5.2640e-04,-0.2,inf,0.0092
5.2660e-04,-0.08,inf,0.002
5.2680e-04,0.04,inf,-0.0028
5.2700e-04,0.04,inf,-0.0084
5.2720e-04,0.12,inf,-0.0132
5.2740e-04,0.2,inf,-0.0172
5.2760e-04,0.24,inf,-0.0196
5.2780e-04,0.36,inf,-0.022
5.2800e-04,0.36,inf,-0.0284
5.2820e-04,0.4,inf,-0.0332
5.2840e-04,0.4,inf,-0.0396
5.2860e-04,0.44,inf,-0.0436
5.2880e-04,0.52,inf,-0.0476
5.2900e-04,0.52,inf,-0.0444
5.2920e-04,0.44,inf,-0.0508
5.2940e-04,0.44,inf,-0.0444
5.2960e-04,0.36,inf,-0.0508
5.2980e-04,0.36,inf,-0.046
5.3000e-04,0.24,inf,-0.0516
5.3020e-04,0.24,inf,-0.046
5.3040e-04,0.12,inf,-0.05
5.3060e-04,0.08,inf,-0.0396
5.3080e-04,0.04,inf,-0.042
5.3100e-04,-0.04,inf,-0.0292
5.3120e-04,-0.08,inf,-0.0316
5.3140e-04,-0.16,inf,-0.0212
5.3160e-04,-0.28,inf,-0.0236
5.3180e-04,-0.28,inf,-0.014
5.3200e-04,-0.36,inf,-0.0116
5.3220e-04,-0.44,inf,-0.0004
5.3240e-04,-0.4,inf,0.0012
5.3260e-04,-0.52,inf,0.01
5.3280e-04,-0.56,inf,0.0092
5.3300e-04,-0.48,inf,0.0156
5.3320e-04,-0.52,inf,0.0124
5.3340e-04,-0.52,inf,0.0172
5.3360e-04,-0.48,inf,0.0164
5.3380e-04,-0.4,inf,0.0252
5.3400e-04,-0.36,inf,0.0236
5.3420e-04,-0.32,inf,0.0284
5.3440e-04,-0.24,inf,0.0212
5.3460e-04,-0.16,inf,0.0252
5.3480e-04,-0.12,inf,0.0172
5.3500e-04,0,inf,0.014
5.3520e-04,0,inf,0.006
5.3540e-04,0.04,inf,0.0068
5.3560e-04,0.12,inf,0.0036
5.3580e-04,0.2,inf,0.006
5.3600e-04,0.28,inf,-0.0036
5.3620e-04,0.32,inf,-0.006
5.3640e-04,0.36,inf,-0.014
5.3660e-04,0.48,inf,-0.0188
5.3680e-04,0.4,inf,-0.0292
5.3700e-04,0.48,inf,-0.0292
5.3720e-04,0.44,inf,-0.0348
5.3740e-04,0.48,inf,-0.0348
5.3760e-04,0.44,inf,-0.0372
5.3780e-04,0.4,inf,-0.0396
5.3800e-04,0.32,inf,-0.0444
5.3820e-04,0.28,inf,-0.0412
5.3840e-04,0.24,inf,-0.0444
5.3860e-04,0.12,inf,-0.0388
5.3880e-04,0.12,inf,-0.042
5.3900e-04,0.04,inf,-0.034
5.3920e-04,-0.08,inf,-0.0348
5.3940e-04,-0.08,inf,-0.0252
5.3960e-04,-0.16,inf,-0.0276
5.3980e-04,-0.24,inf,-0.0196
5.4000e-04,-0.36,inf,-0.0204
5.4020e-04,-0.36,inf,-0.006
5.4040e-04,-0.4,inf,-0.0052
5.4060e-04,-0.48,inf,0.0068
5.4080e-04,-0.48,inf,0.0084
5.4100e-04,-0.48,inf,0.022
5.4120e-04,-0.48,inf,0.018
5.4140e-04,-0.48,inf,0.03
5.4160e-04,-0.52,inf,0.0276
5.4180e-04,-0.44,inf,0.0396
5.4200e-04,-0.36,inf,0.0428
5.4220e-04,-0.4,inf,0.0492
5.4240e-04,-0.32,inf,0.0492
5.4260e-04,-0.24,inf,0.054
5.4280e-04,-0.16,inf,0.0476
5.4300e-04,-0.04,inf,0.0492
5.4320e-04,0,inf,0.046
5.4340e-04,0.04,inf,0.0436
5.4360e-04,0.12,inf,0.0468
5.4380e-04,0.2,inf,0.0444
5.4400e-04,0.24,inf,0.0436
5.4420e-04,0.28,inf,0.0364
5.4440e-04,0.4,inf,0.0316
5.4460e-04,0.44,inf,0.0244
5.4480e-04,0.44,inf,0.0156
5.4500e-04,0.44,inf,0.0092
5.4520e-04,0.44,inf,0.006
5.4540e-04,0.44,inf,0.0012
5.4560e-04,0.4,inf,-0.0012
5.4580e-04,0.4,inf,-0.0044
5.4600e-04,0.44,inf,-0.0116
5.4620e-04,0.32,inf,-0.018
5.4640e-04,0.24,inf,-0.0188
5.4660e-04,0.16,inf,-0.022
5.4680e-04,0.16,inf,-0.0244
5.4700e-04,0.08,inf,-0.0268
5.4720e-04,0,inf,-0.0236
5.4740e-04,-0.08,inf,-0.0236
5.4760e-04,-0.2,inf,-0.0212
5.4780e-04,-0.2,inf,-0.0228
5.4800e-04,-0.32,inf,-0.018
5.4820e-04,-0.32,inf,-0.0148
5.4840e-04,-0.36,inf,-0.0068
5.4860e-04,-0.48,inf,-0.0044
5.4880e-04,-0.44,inf,0.002
5.4900e-04,-0.48,inf,0.0084
5.4920e-04,-0.48,inf,0.014
5.4940e-04,-0.48,inf,0.0164
5.4960e-04,-0.56,inf,0.0228
5.4980e-04,-0.48,inf,0.0268
5.5000e-04,-0.4,inf,0.0348
5.5020e-04,-0.44,inf,0.0412
5.5040e-04,-0.32,inf,0.0476
5.5060e-04,-0.24,inf,0.0524
5.5080e-04,-0.2,inf,0.0548
5.5100e-04,-0.16,inf,0.0548
5.5120e-04,-0.04,inf,0.0524
5.5140e-04,0.04,inf,0.0524
5.5160e-04,0.12,inf,0.054
5.5180e-04,0.16,inf,0.0548
5.5200e-04,0.24,inf,0.0532
5.5220e-04,0.36,inf,0.0516
5.5240e-04,0.32,inf,0.0492
5.5260e-04,0.44,inf,0.0396
5.5280e-04,0.4,inf,0.0364
5.5300e-04,0.44,inf,0.022
5.5320e-04,0.48,inf,0.022
5.5340e-04,0.48,inf,0.0132
5.5360e-04,0.44,inf,0.0148
5.5380e-04,0.32,inf,-0.0004
5.5400e-04,0.32,inf,0.0028
5.5420e-04,0.28,inf,-0.0132
5.5440e-04,0.28,inf,-0.0124
5.5460e-04,0.16,inf,-0.0284
5.5480e-04,0.12,inf,-0.0252
5.5500e-04,0.08,inf,-0.0388
5.5520e-04,0.04,inf,-0.0308
5.5540e-04,-0.04,inf,-0.0404
5.5560e-04,-0.16,inf,-0.0364
5.5580e-04,-0.24,inf,-0.046
5.5600e-04,-0.28,inf,-0.0396
5.5620e-04,-0.36,inf,-0.046
5.5640e-04,-0.4,inf,-0.0388
5.5660e-04,-0.44,inf,-0.0388
5.5680e-04,-0.44,inf,-0.0308
5.5700e-04,-0.48,inf,-0.0276
5.5720e-04,-0.48,inf,-0.022
5.5740e-04,-0.52,inf,-0.0204
5.5760e-04,-0.4,inf,-0.0148
5.5780e-04,-0.48,inf,-0.0116
5.5800e-04,-0.44,inf,-0.0036
5.5820e-04,-0.36,inf,-0.0004
5.5840e-04,-0.32,inf,0.0084
5.5860e-04,-0.24,inf,0.0148
5.5880e-04,-0.2,inf,0.022
5.5900e-04,-0.12,inf,0.0244
5.5920e-04,0,inf,0.0268
5.5940e-04,0.04,inf,0.0268
5.5960e-04,0.08,inf,0.0284
5.5980e-04,0.2,inf,0.0284
5.6000e-04,0.2,inf,0.0332
5.6020e-04,0.28,inf,0.0324
5.6040e-04,0.4,inf,0.034
5.6060e-04,0.36,inf,0.0292
5.6080e-04,0.48,inf,0.0284
5.6100e-04,0.44,inf,0.0188
5.6120e-04,0.48,inf,0.0164
5.6140e-04,0.44,inf,0.0052
5.6160e-04,0.44,inf,0.0044
5.6180e-04,0.44,inf,-0.0028
5.6200e-04,0.4,inf,-0.002
